story,action_code1,action_code2,action_code3
التوجه لخدمة العملاء لتحديث البيانا:تللعميل بريد مرتد:مطلوب تحديث بيانات: العميل,88,,
التوجه لخدمة العملاء للتحديث:مطلوب :تحديث بيانات العميل,,,
التوجه لخدمه العملاء لتعديل العنوان: للعميل بريد مرتد,,,
الحساب متحفظ عليه كطلب الالتزام الم:صرفى مع عدم ابلاغ العميل باى معلوما:ت تخص التحفظ,88,,
الحضور لفرع الكوربه لتحديث نموذج حف:ظ المراسلات,,,
الرجوع لخدمة العملاء لاستيفاء رقم ا:لتليفون,88,,
الرجوع لخدمه العملاء لاستيفاء شهاده: الميلاد  مواليد الخارج,,31,6
السداد على حساب القرض مباشر وعدم ال:سداد على حساب 521 الا بالرجوع لقسم :المشروعات متناهيه الصغر فرع الحامول:,10,,
العميل  ختم وبصمه,12,11,
العميل توفى الى رحمة الله,12,,
العميل توفى الى رحمه الله تعالى,88,,
العميل توفى:مطلوب تحديث بيانات العم:يل,26,12,
العميل حاصل على بطاقة ائتانيه,26,25,
العميل حاصل على بطاقة ائتمانية فرع :زفتى,26,25,
العميل حاصل على بطاقة ائتمانيةللعميل بريد مرتد,26,25,
العميل حاصل على بطاقة ائتمانيه بضما:ن شهاده,26,25,
العميل حاصل على كارد فيزا,26,25,
العميل حاصل على ماستر,26,25,
العميل حاصل على ماستر تيتانيوم,26,25,
العميل حاصل على ماستر فرع شبرا,26,25,
العميل حاصل على ماستركارد حدها5000ج:م,10,25,
العميل ختم وبصمة..,10,11,
العميل ختم وبصمةللعميل بريد مرتد,10,11,
العميل ختم وبصمه طبقا لتعليمات خطاب: تعميم 042018,12,11,
العميل ختم وبصمهاخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتماني  :IScore,10,,
العميل شئون قانونية وتم عمل قضايا ل:لعميل والضامن,10,,
العميل قضايا برجاء التوجه الي قسم ا:لمشروعات متناهيه الصغر تم اعدام الد:ين طبقا للمبادره رقم 82021 بتاريخ :2982021,26,,
العميل لدية بطاقه ائتمانيه,27,25,
العميل له خزينة حديدية,30,,
العميل له محفظة قاهرة كاش في حالة ر:غبة العميل لفتح حساب البنك يلزم است:يفاء نموذج 1 ح ج,10,,
العميل متخذ ضده اجراءات قانونيه تم :اعدام المديونيه المستحقه على العميل: محاسبيا مع الاستمرار في الإجراءات :القانونيه المتخذه وفقا لقرارمجلس ال:إدارة بتاريخ 23052023,10,32,41
العميل متخذ ضده اجراءات قضائية وتم :اعدام مديونيته محاسبيا,12,32,41
العميل متوفى كتقرير الايسكور,12,,
العميل متوفى كخطاب شركة ايسكور,12,,
العميل متوفى وفقا لقرار الاى سكور,12,,
العميل متوفىاخطار بوفاة العميل من خلال بيانات ا:لشركه المصريه للاستعلام الائتماني I:SCORE,10,,
العميل محال شئون قانونيهتم اعدام الدين مع الاستمرا فى الاجر:اأت القانونيه,10,32,41
العميل محال شئون قانونيهتم اعدام الدين مع الاستمرار فى الاج:راءات القانونيه,10,32,41
العميل محول شئون قانونية خطاب رقم 1:64 بتاريخ 12102023.,10,32,
العميل محول شئون قانونية خطاب رقم 4:3 بتاريخ 06072023.,10,32,
العميل محول شئون قانونية عدم اصدار :كشوف حساب نهائيا للعميل وعدم اصدار :مخالصات او شهادات ابراء ذمه او التن:ازل عن الإجراءات القضائية الابعد ال:رجوع للاداره العامه ل,10,32,
العميل محول شئون قانونيه والرجوع لل:مشروعات,10,32,
العميل محول للشئون القانونية بتاريخ: 01062023 خطاب رقم 4.,10,32,
العميل محول للشئون القانونية بتاريخ: 24 10 2021 و الرجوع لقسم المشروع:ات,26,32,
العميل مدر له بطاقة ائتمانية بحد أئ:تمانى قدره 5000 جم,26,25,
العميل مصدر له ب ائتمانيه بدون ضمان: ويجب الرجوع لخدمة عملاء البطاقات ق:بل الغاء او تخفيض الوعاء الادخارى .:,26,25,
العميل مصدر له بطاقة ائتمانية بدو:ن ضمان ويجب الرجوع لخدمة عملاء البط:اقات قبل إلغاء أو تخفيض الوعاء الاد:خارى,26,25,
العميل مصدر له بطاقه ائتمانيه بدون :ضمان ويجب الرجوع لخدمه عملاء البطاق:ات قبل الغاء او تخفيض الوعاء الادخا:رى,88,25,
العميل مطلوب تحديث بياناته:مطلوب تح:ديث بيانات العميلللعميل بريد مرتد,88,,
العميل مطلوب فى خدمه العملاء لتحديث: البيانات:مطلوب تحديث بيانات العميل::مطلوب تحديث بيانات العميل,88,,
العميل مطلوب لخدمه العملاء للتحديث :للعميل بريد مرتد:مطلوب تحديث بيانات: العميل:مطلوب تحديث بيانات العميل,88,,
العميل مطلوب لقسم خدمة العملاء :مطل:وب تحديث بيانات العميل,88,,
العميل مطلوب لقسم خدمة العملاء لتحد:يث بياناتة:مطلوب تحديث بيانات العمي:لللعميل بريد مرتد,88,,
العميل مطلوب للتحديث البيانات:مطلوب: تحديث بيانات العميل,88,,
العميل مطلوب للتحديث ومعرفة العنوان: بالتفصيل كطلب الرقابة الداخلية.للعميل بريد مرتد,88,,
العميل مطلوب للتحديث:مطلوب تحديث بي:انات العميل:مطلوب تحديث بيانات العم:يل:مطلوب تحديث بيانات العميلللعميل بريد مرتد,,,
العميل ممنوح تمويل عقارى,,,
العميل ممنوح قرض تمويل عقارى,10,,
العميل والضامن إجراءات قضائيه اعدام: دين محاسبى,10,41,
العميلة تتعامل على الحساب بالختم وا:لبصمة,11,11,
برجاء الالتزام بعدم اعادة اصدار اي :بطاقة من اي منتج للعميل بدل فاقد :بدل تالف للبطاقات المذكورة ادناه ال:ا بعد الرجوع الى ادارة الالتزام الم:صرفي  وادارة مخاطر البط,,30,
برجاء سداد متأخرات وثيقة اليانز,,,
بريد مرتد62013للعميل بريد مرتد,26,,
بطاقة ائتمانية 1000جم,26,25,
بطاقة ائتمانية بمبلغ 10000 جم,10,25,
بناء على التعليمات عدم منح العميل ا:ى تسهيلات ائتمانية جديدة,41,99,
تجاوز الجارى مدين,88,,
تحديث البيانات طرف المركزية,88,,
تحديث الرقم القومى,88,,
تحديث بيانات FATCA,88,,
تحديث بيانات:مطلوب تحديث بيانات الع:ميل:مطلوب تحديث بيانات العميل:مطلوب: تحديث بيانات العميل,70,,
ترك العمل,10,88,90
تم اتخاذ اجراءات قانونية,10,32,
تم اتخاذ الاجراءات القانونيه للعميل: والكفيل فى 072023,,32,
تم ارسال المستندات الى الشئون القا:نونية,,,
تم ارسال مستندات العميل الى ادارة ا:لشئون القانونيه 10082023,10,,
تم اعدام الدين محاسبيا مع الاستمرار: في اتخاذ الاجراءت القانونيه وفقا ل:قرار مجلس الاداره بتاريخ 31102022:,10,41,
تم اعدام الدين مع الاستمرار ف الشئو:ن القانونيه,10,41,
تم اعدام القرض طبقا لقرار م الادار:ةالعميل متخذ ضده اجراءات قانونية:عدم اصدار كشف حساب او مخالصات اوشها:دات او تنازل عن اجراءات قضائية نهائ:ياالابعدالرجوع للادارة,10,,
تم إعدام المديونية المستحقة على ا:لعميل محاسبيا مع الأستمرار فى الأجر:اءات القانونية المتخذة وفقا لقرار م:جلس الادارة بتاريخ 23052023,10,41,
تم اعدام المديونية المستحقة على الع:ميل محاسبياً مع الاستمرار فى الاجرا:ءات القانونية المتخذة وفقاً لقرار م:جلس الادارة بتاريخ 3032022,10,41,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية,10,41,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونية المتخذة وفقا لقرار لجن:ه الاصول الخاصة بتاريخ 15122021,10,41,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار لجن:ه الاصول الخاصه بتاريخ 31102022,10,41,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتاريخ 122020,10,41,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الاستمرار فى الإجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتاريخ 31102023وعدم اجر:اء كشوف  حساب او مخالصات ا,10,41,
تم اعدام المديونية المستحقة على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونية المتخذه بتاريخ 12018,10,41,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الاستمرار في الإجراء:ات القانونية المتخذه وفقا لقرار مجل:س الإدارة بتاريخ 31102022,10,41,
تم اعدام المديونية المستحقة على العميل محاسبيا مع الاستمرار في: الإجراءات القانونية المتخذة وفقا لقرار مجلس الإدارة بت:اريخ 122019,10,41,
تم إعدام المديونية المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتاريخ 31102023,10,41,
تم اعدام المديونية المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونية المتخذه وفقا لقرار مجل:س الاداره بتاريخ 3110223,10,41,
تم اعدام المديونية المستحقه على الع:ميل محاسبيا مع الاستمرار في الإجراء:ات القانونية المتخذه وفقا لقرار مجل:س الاداره بتاريخ 31102022,10,41,
تم اعدام المديونية المستحقه على الع:ميل محاسبيا مع الاستمرارى الإجراءات: القانونيه المتخذة بتاريخ 122019,10,41,
تم اعدام المديونية المستحقى على الع:ميل محاسبيا مع الاستمرار في الاجاءا:ت القانونية المتخذة وفقا لقرار مجلس: الإدارة بتاريخ 31102023,10,41,
تم اعدام المديونيه المستحقة على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتاريخ 12012023,10,41,
تم اعدام المديونيه المستحقة على الع:ميل محاسبيا مع الاستمرار في الإجراء:ات القانونية المتخذة وفقا لقرار لجن:ة الأصول الخاصة بتاريخ 15122021,10,41,
تم اعدام المديونيه المستحقة على الع:ميل محاسبيا مع الاستمرار في الإجراء:ات القانونية المتخذه وفقا لقرار لجن:ة الأصول الخاصة بتاريخ 15122021,10,41,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونيه المتخذه بتاريخ 122018:,10,41,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونيه المتخذه ضده,10,41,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونيه المتخذه وفقا لقرار لجن:ه الاصول الخاصه بتاريخ 10042022,10,41,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار في الاجراء:ات القانونيه المتخذه بتاريخ 12 202:0م,10,41,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار في الاجراء:ات القانونيه المتخذه بتاريخ 122018:,10,41,
تم اعدام المديونيه المستحقه علي الع:ميل محاسبيا مع الاستمرار في اتخاذ ا:لاجراءات القانونيه المتخذه في 1220:18,12,41,
تم الابلاغ بوفاة العميل من هيئة الب:ريد,88,,
تم تحديث FATCA,30,,
تم فتح محفظه قاهرة كاش تجار في حالة: فتح حساب بالبنك يتم استيفاء نموذج :1 ح ج,30,,
تم منح العميل محفظه قاهرة كاش تجار :في حالة رغبه العميل فتح حساب يتم اس:تيفاء نموذج 1 ح ج,30,,
تم منح العميل محفظه قاهره كاش تجار :فى حاله رغبه فتح العميل فتح حساب يس:تلزم استيفاء 1 ح ج,,,
تمويل عقارىحال طلب العميل فتح منتج آخر يتعين ع:لى الفرع استيفاء نموذج 1ح.ج جديد .:مع الشكر,,,
ح تمويل عقارى,26,,
حاصل على كارت ائتمانى حد الكارت 500:0جم,26,25,
حاصل عي فيزا عدم اعطاء مخالصة الا ب:عد الرجوع لقسم البطاقات,26,25,
حاصله علي فيزا بحد 5000 جم بضمان ال:شهاده,41,25,
ديون معدومه بتاريخ 31102022,41,,
ديون معدومه بقرار مجلس الاداره بتار:يخ 31102023,88,,
رجاء الحضور لقسم خدمة العملاءلتحديث البيانات:مطلوب تحديث بيانات :العميلللعميل بريد مرتد,12,,
رد هيئة البريد بأن العميل متوفى على مرتدات كشوف الحساب,,,
سداد البطاقه الائتمانيه,41,,
سداد تجاوز جارى مدين بالكامل,88,,
شهادة ميلاد مواليد خارج,,6,31
عدم اجراء معاملات تجارية على الحساب: الشخصى وفقا لمنشور 572016,,,
عدم استخدام الحساب في المعاملات الت:جارية,,,
عدم اصدار أي بطاقات بدل فاقد او جدي:دة الا بعد الرجوع الى إدارة مخاطر ا:حتيال البطاقات.,10,,
عدم اصدار كشوف حساب او مخالصات او ش:هادات ابراء ذمة او التنازل عن الاجر:اءات القضائية الا بعد الرجوع للادار:ة العامة للتحصيل ومعالجة ديون التجز:ئةالمصرفية,1,,
عدم التعامل على حساب التمويل العقار:ى  منتج 544  بالسحب,12,,
عدم التعامل مع الحساب للوفاة,10,,
عدم التعامل مع العميل ووالكفيل الحظ:ر التعامل معهم,,32,
عدم السجب تمويل عقارى,1,,
عدم السحب الا بعد التوجه الى قسم ال:قروض المتناهيه الصغر,1,32,
عدم السحب الا بعد الرجوع الى قسم ال:قروض الصغيره,1,32,
عدم السحب عميل  تمويل عقارى,1,32,
عدم السحب من الحساب دفعة مقدمة تموي:ل عقارى,88,32,
عدم السحب من الحساب لبلوغ القاصر سن: الرشد:مطلوب تحديث بيانات العميل,1,8,1
عدم السحب من ح ت عقارى منتج544,1,32,
عدم السحب من منتج544 العميل حاصل عل:ى قرض تميل عقارى,1,32,
عدم السحب نهائيا من الحساب  عميل تم:ويل عقارى والمبلغ يخص الدفعة المقدم:ة للتمويل,1,32,
عدم السحب نهائيا من منتج 544 تمويل: عقارى,,32,
عدم السحلب من منتج 544 تميل عقارى,,,
عدم رفع الايقاف على البطاقة وعدم ا:صدار اي بطاقة من اي منتج  او تنشيط :او اعادة اصدار بطاقة بدل فاقد بدل :تالف لبطاقة  الخصم  الائتمان  ال:ا بعد الرجوع الى ادارة مخاطر,1,,
عدم سحب من حساب التمويل العقارى,10,32,
عدم فتح العميل اى تسهيلات مره اخرى :نظرا لتقديم مستندات غير صحيحه,,99,
عدم منح اى مخالصات الا بعد الرجوع ا:لى اداره التحصيل للبت في امر المخال:صه,,,
عميل اوراق مالية,27,,
عميل خزينه حديدية فرع سموحه,10,,
عميل شئون قانونيه مع عدم اصدار كشف :حساب او شهادات,41,32,
عميل قروض صغيره ديون معدومه,,,
غلق 409,10,,
قضايا,1,,
لا يتم الصرف الا باذن النيابه,1,32,
لا يتم الصرف الا باذن من النيابه ال:حسبيه,1,32,
لا يتم الصرف الا بعد سداد المتاخرات:,1,32,
لا يتم الصرف الا بموافقه النيابه ال:حسبيه,1,32,
لا يتم الصرف او تجديد قرض الحكومه ا:لا بالرجوع الى فرع السواقى قسم المش:روعات الصغيره,1,32,
لايتم الصرف الا باذن من النيابة الح:سبية,26,32,
لعميل مصدر له بطاقة ائتمانية بدون ض:مان ويجب الرجوع لخدمة عملاء البطاقا:ت قبل الغاء وتخفيض الوعاء الادخارى,88,25,
للعميل بريد مرتد:مطلوب تحديث بيانات: العميل:مطلوب تحديث بيانات العميل.ل:لعميل بريد مرتد,12,,
للعميل بريد مرتداخطار بوفاه العميل من خلال بيانات ا:لشركة المصريه للاستعلام الائتمانى i:score,12,,
للعميل بريد مرتدالعميل متوفى و تم :الإبلاغ عن طريق الايسكور,10,,
للعميل بريد مرتدتم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة بتاريخ 122020:,30,41,
للعميل بريد مرتدتم منح العميل محفظة قاهرة كاش تجار :فى حالة رغبة العميل بفتح حساب يتم أ:ستيفاء نموذج 1 ح ج,,,
للعميل بريد مريد,,,
للعميل بريدمرتد 062014,88,,
للعميل بريدمرتد.:مطلوب تحديث بيانات: العميل,10,,
للعميل ختم وبصمه,,11,
لم يتم اصدار الدفتر الورقى,27,,
له خزنه حديد فرع السادات,63,,
مجمد لصالح المورد,10,,
محول ش قانونية,6,32,
مشروعات صغيرة,88,,
مطلوب تحديث البيانات اخطار بوفاة العميل من خلال بيانا:ت الشركة المصرية للاستعلام الائتمان:ي  IScore,88,12,
مطلوب تحديث البيانات.اخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتماني  :IScore,88,12,
مطلوب تحديث البياناتh m f,88,,
مطلوب تحديث البياناتاخطار بوفاه الع:ميل من خلال بيانات الشركه المصريه ل:لاستعلام الائتمان iscore,88,12,
مطلوب تحديث البياناتالعميل متوفى كخطاب الايسكور,88,12,
مطلوب تحديث البياناتتم التحديث و ا:لمستندات طرف المركزيه,88,,
مطلوب تحديث البياناتسداد متاخرات,88,,
مطلوب تحديث البياناتعدم السحب الا بعد سداد المتاخرات,88,1,32
مطلوب تحديث بيانات العميل تم اعدام :المديونية المستحقه علي العميل محاسب:يامع الاستمرار في الاجراءات القانون:ية بتاريخ012018,88,10,41
مطلوب تحديث بيانات العميل للعميل بر:يد مرتد:مطلوب تحديث بيانات العميل,88,,
مطلوب تحديث بيانات العميل معاشات : ولا يتم الصرف الا بموافقة مدير الف:رع,88,1,32
مطلوب تحديث بيانات العميل.بريد مرتد:032014,88,,
مطلوب تحديث بيانات العميل:Major cus:tomer now:مطلوب تحديث بيانات العميل::مطلوب تحديث بيانات العميلللعميل بريد مرتد,88,8,
مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميل:Major customer now::Major customer now:Major customer :now,88,8,
مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميل:Major customer now:للعميل بريد مرتد,88,8,
مطلوب تحديث بيانات العميلاخطار بوفاه العميل من خلال بيانات ا:لشركه المصريه للاستعلام الائتمانى I:Score,88,12,
مطلوب تحديث بيانات العميلالعميل له محفظه قاهره كاش في حاله ر:غبه العميل بفتح حساب بالبنك يلزم اس:تيفاء نموذج 1ح ج,88,,
مطلوب تحديث بيانات العميلبريد مرتد 62014,88,,
مطلوب تحديث بيانات العميلبريد مرتد032014,88,,
مطلوب تحديث بيانات العميلكشف حساب مرتد,88,,
مطلوب تحديث بيانات العميلللعميل بر:يد مرتد:مطلوب تحديث بيانات العميل::مطلوب تحديث بيانات العميل,88,,
مطلوب تحديث بيانات العميلللعميل بريد مرتد :مطلوب تحديث بيانا:ت العميل,88,,
مطلوب تحديث بيانات العميلللعميل بريد مرتد 31032014,88,,
مطلوب تحديث بيانات حع:مطلوب تحديث :بيانات العميل,88,,
مطلوب تحديث بيانات كطلب اداره الالت:زام المصرفى,88,,
مطلوب تحديث بيانات كطلب الالتزام ال:مصرفي,88,,
مطلوب تحديث للعميل بريد مرتد:مطلوب :تحديث بيانات العميل,88,,
مطلوب تحديثللعميل بريد مرتد:مطلوب تحديث بيانات: العميل,,,
مطلوب عمل القاهرة كاش,88,,
مطلوب لتحديث البيانات .:مطلوب تحديث: بيانات العميلللعميل بريد مرتد,88,,
مطلوب للتحديثللعميل بريد مرتد.:مطلوب تحديث بيانا:ت العميل,41,,
نم اعدام المدينونيه المستحقه على ال:عميل محاسبيا وفقا لقرار مجلس الادار:ه بتاريخ 31102023,,,
وثيقة تامين ثالث مرة بمبلغ 70000 جم:,,,
وثيقه تامين اول مره بمبلغ160000,88,,
وفاة العميل:مطلوب تحديث بيانات العم:يل:مطلوب تحديث بيانات العميل:مطلوب :تحديث بيانات العميل,12,12,
وفاة العميلاخطار بوفاة العميل من خلال بيانات ا:لشركة المصريه للاستعلام الائتمانى I: score,12,,
وفاه العميل بناء على اميل معالجه بر:يد مرتد بتاريخ 21122021,10,,
يوجد م قضائية يجب خصمها قبل اعطاء ا:لعميل اى مخالصة,,,
1,88,,
Customer has 15 loans so far.:مطلوب: تحديث بيانات العميل,,,
,8,,
Major customer nowللعميل بريدمرتد,10,,
اجراءات قضائية جواب تسفير رقم 125 ي:وم 27092023,10,,
اجراءات قضائيه 92023,12,,
اخطار بوفاه العميل خلال بيانات الشر:كة المصرية للأستعلام الائتمانى I.SC:OURE,12,,
اخطار بوفاه العميل من خلال بيانات ا:لشركه المصريه للاستعلام الائتماني I: score,,,
استيفاء نموذج 197 من التامينات,41,,
اعدام دين طبقا لقرار مجلس الادارة ب:تاريخ09122019 جلسة 1019 لا يتم ا:عطاء اى مخالصات الا بعد الرجوع الى :قسم القروض الصغيرة فرع الدقى,41,,
اعدام مديونيه بناء على موافقه مجلس :الاداره 92020 بتاريخ 25112020,41,,
اعدام مديونيه دون ابرام ذمه 2021,88,,
التوجه لخدمة العملاء لتحديث البيانا:ت :مطلوب تحديث بيانات العميلللعميل بريد مرتد,88,,
التوجه لخدمة العملاء لتحديث البيانا:تللعميل بريد مرتد.:مطلوب تحديث بيانا:ت العميل,88,,
الحضور لخدمة العملاء للاهميه:مطلوب :تحديث بيانات العميل,88,,
الحضور لخدمه العملاء لتحديث البيانا:ت:مطلوب تحديث بيانات العميل,88,,
الحضورلقسم خدمه العملاءلتحديث البيا:نات:مطلوب تحديث بيانات العميلللعميل بريدمرتد,1,,
الرجوع للمشروعات قبل السحب,10,32,
الضامن تم إعدام المديونية المستحق:ة على العميل محاسبيا مع الأستمرار ف:ى الأجراءات القانونية المتخذة بتاري:خ 122020,26,41,
العميل  حاصل على بطاقه  بدون  ضمان :,26,25,
العميل حاصل على البطاقه الائتمانيه,26,25,
العميل حاصل على بطاقة ائتمانية بضما:ن تحويل راتب,26,25,
العميل حاصل على بطاقه ائتمان حد 300:0جم بضمان تحويل المرتب,26,25,
العميل حاصل على بطاقه ائتمانيه بحد :10000 ج,26,25,
العميل حاصل على بطاقه ائتمانيه بمبل:غ 10000 جم,26,25,
العميل حاصل علي بطاقة ائتمانيه,26,25,
العميل حاصل علي بطاقه ائتمانيه عملا:ء منتجات ائتمانيه قائمه,26,25,
العميل حاصل علي بطاقه ائتمانيه مضم:نه 5000جم,10,25,
العميل ختم ويصمه,41,11,
العميل ديون معدومه مشروعات,10,,
العميل صاحب ختم وبصمه,26,11,
العميل غير حاصل على بطاقه خصم مباشر: ختم و بصمه,26,25,
العميل لديه بطاقة ائتمانية بضمان ال:راتب,26,25,
العميل لديه بطاقة ائتمانيةللعميل بريد مرتد,12,25,
العميل متوفىاخطار بوفاه العميل من خلال بيانات ا:لشركه المصريه للاستعلام الائتمانى I:score,10,,
العميل محمول شئون قانونيه,10,32,
العميل محمول للشئون القانونية 0702:2021,10,32,
العميل محول شؤون قانونية,10,32,
العميل محول شئون قانونية بتاريخ 12:052020,10,32,
العميل محول شئون قانونية خطاب رقم 1:11 بتاريخ 12052022.,10,32,
العميل محول شئون قانونيةتم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة بتاريخ 06122:020,10,32,41
العميل محول للشئون القانونية بالخطا:ب رقم 167 بتاريخ 10062021 .,10,32,
العميل محول للشئون القانونية بتاريخ: 10092023 خطاب 35.,10,32,
العميل محول للشئون القانونية والرجو:ع لقسم المشروعات,10,32,
العميل محول للشئون القانونيه بتاريخ: 21022021 والرجوع للمشروعات,10,32,
العميل محول ملفه للشئون القانونيه,,32,
العميل مصدر له ايزى كارد,27,,
العميل مصدر له خزينة حديدية الرجوع: لفرع مدينة نصر للتوقيع على عقد فتح: حساب جديد حيث تم فتح الرقم التعريف:ي لتسجيله على نظام الخزائن الحديدية: فقط,88,41,
العميل مطلوب فى خدمة العملاء لتحديث: بياناته:مطلوب تحديث بيانات العميلللعميل بريد مرتد,88,,
العميل مطلوب لتحديث البيانات,88,,
العميل مطلوب لخدمة العملاء لتحديث ب:ياناتة:مطلوب تحديث بيانات العميل,88,,
العميل مطلوب لقسم خدمة العملاء لتحد:يث بياناتة:مطلوب تحديث بيانات العمي:ل:مطلوب تحديث بيانات العميل,88,,
العميل مطلوب لقسم خدمة العملاء لتحد:يث بياناتهللعميل بريد مرتد:مطلوب تحديث بيانات: العميل,88,,
العميل مطلوب للتحديث,88,,
العميل مطلوب للتحديث :مطلوب تحديث ب:يانات العميل,12,,
العميل وفاة اخطار بوفاة العميل من خلال بيانات :الشركة المصرية للاستعلام الائتماني : IScore,,,
العميل يتعامل علي الحساب بختم وبصمه:,,,
العميل يحمل ختم وبصمه,,,
العميلة حاصلة علي بطاقة ائتمانية بح:د  10000,,,
العميلة حاصلة علي بطاقة ائتمانية بح:د  5000,,,
اليانز,,,
ايداع المصاريف السنوية لتجديد بطاقة: الصارف بتاريخ استحقاقها كل عام.,88,,
برجاء التكرم الى خدمة العملاء للتحد:يث البيانات:مطلوب تحديث بيانات العم:يل,88,,
برجاء التوجة الى خدمة العملاء للتحد:يث البيانات:مطلوب تحديث بيانات العم:يل,88,,
برجاء التوجه الى خدمه العملاء لتحدي:ث البيانات:مطلوب تحديث بيانات العمي:ل,,,
برجاء عدم تحويل  ايقاف المعاش الا :بعد الرجوع لقسم القروض الصغيرة فرع :حلوان,,,
بريد مرتد 62013للعميل بريد مرتد,,,
بريد مرتد للعميل,12,,
بريد مرتداخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتماني  :IScore,,,
بريد مرتدللعميل,,,
بطاقة ائتمان بحد 10000جم,,,
بطاقه ائتمانية,88,,
بلوغ سن الرشد:مطلوب تحديث بيانات ال:عميل:مطلوب تحديث بيانات العميل:مطلو:ب تحديث بيانات العميل,,8,
تجديد التوكيل طابعه 2017,88,,
تحديث بيانات خدمه العملاء:مطلوب تحد:يث بيانات العميل,88,,
تحديث فاتيكاللعميل بريد مرتد,10,,
تم اتخاذ اجراء قضائى بتاريخ 63,,,
تم اتخاذ الاجراءات القانونيه,,,
تم اتخاذ الاجراءات القانونيه فى 202:10224,10,,
تم ارسال المستندات الى الشئون القان:ونيهتم اعدام المديونيه المستحقة على الع:ميل محاسبيا,10,41,
تم ارسال مستندات العميل الى الشئون :القانونيه 01102023,,,
تم اصدار شهادة امان مصر بمبلغ 2500: جم من 02122018 حتى 02122021,,,
تم اصدار ماستر كارد للعميل,10,,
تم اعدام الدين قرار مجلس اداره 178:2021 الاستمرار في الاجراءات عدم اع:طاء اي كششوف حساب او مخالصات او تعا:مل الا بعد الرجوع لاداره التحصيل,10,41,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا بتاريخ 122020 مع الإست:مرار فى الاجراءات القانونية المتخذة:,10,41,
تم اعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة بتاريخ 122020:,10,41,
تم اعدام المديونية المستحقة على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونية المتخذة وفقاً لقرار مج:لس الادارة بتاريخ 12012023,10,41,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار لجن:ه الاصول الخاصه بتاريخ 15122021ا:لعميل متخذ ضده اجراءات قض,10,41,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتاريخ 23052023وعدم اصدار كشوف حساب او مخالصات ا,10,41,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتاريخ 29122019,10,41,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتاريخ 30112020جلسه 09:2020,10,41,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتاريخ 31102022وعدم طباعه كشوف حساب    ولا يتم اص:,10,41,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الاستمرار في الإجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتاريخ 31102023,10,41,
